make_model,power_kW,mileage,age,engine_size,type,price
Mercedes-Benz A 35 AMG,225.0,42500.0,3.0,1991.0,Used,45900.0
Mercedes-Benz A 180,80.0,198000.0,8.0,1461.0,Used,13900.0
Mercedes-Benz A 180,80.0,164305.0,5.0,1461.0,Used,19890.0
Mercedes-Benz A 200,100.0,146000.0,8.0,1796.0,Used,15890.0
Mercedes-Benz A 220,125.0,170500.0,7.0,2143.0,Used,22000.0
Mercedes-Benz A 180,85.0,40000.0,1.0,1461.0,Used,30990.0
Mercedes-Benz E 400,250.0,78473.0,2.0,2925.0,Used,64870.0
Mercedes-Benz E 400,245.0,112538.0,7.0,3498.0,Used,31880.0
Mercedes-Benz SLK 200,135.0,184160.0,9.0,1796.0,Used,13499.0
Mercedes-Benz C 400,245.0,20145.0,1.0,2996.0,Employee's car,63370.0
Mercedes-Benz E 400,245.0,188000.0,7.0,3498.0,Used,26999.0
Mercedes-Benz E 350,215.0,235000.0,12.0,3498.0,Used,13490.0
Mercedes-Benz E 220,120.0,137600.0,10.0,2143.0,Used,19499.0
Mercedes-Benz C 43 AMG,287.0,20000.0,3.0,2996.0,Used,59990.0
Mercedes-Benz E 400,245.0,47000.0,6.0,3498.0,Used,43600.0
Mercedes-Benz E 350,185.0,89000.0,9.0,2987.0,Used,34900.0
Mercedes-Benz C 43 AMG,270.0,42157.0,5.0,2996.0,Used,48890.0
Mercedes-Benz SLK 200,135.0,56232.0,8.0,1796.0,Used,24950.0
Mercedes-Benz C 43 AMG,270.0,100333.0,5.0,2996.0,Used,45290.0
Mercedes-Benz C 300,180.0,69503.0,5.0,1991.0,Used,39980.0
Mercedes-Benz C 43 AMG,287.0,97500.0,4.0,2996.0,Used,47500.0
Mercedes-Benz E 220,125.0,113000.0,5.0,2143.0,Used,26990.0
Mercedes-Benz E 300,180.0,111500.0,5.0,1991.0,Used,41960.0
Mercedes-Benz C 63 AMG,350.0,52565.0,5.0,3982.0,Used,65490.0
Mercedes-Benz E 400,245.0,124390.0,7.0,3498.0,Used,32999.0
Mercedes-Benz C 200,135.0,85419.0,6.0,1991.0,Used,32360.0
Mercedes-Benz E 200,135.0,102900.0,11.0,1796.0,Used,20888.0
Mercedes-Benz SLK 200,135.0,141668.0,8.0,1796.0,Used,16999.0
